evaluation_id,PC1,PC2
baseline/Base,-6.013794631989008,1.4512292617175193
session_20260817_014141/T1,0.20101720964079464,-1.1684719743726462
session_20260817_014141/T2,0.49274368429108034,-1.9421829929070105
session_20260817_014141/T3,0.4509587513637539,-2.395419937509784
session_20260817_031026/T1,-0.8552692019564441,-0.7213136598404722
session_20260817_031026/T2,0.593218670713749,-1.2728915269370482
session_20260817_130253/T1,-0.2713554794720891,-0.8232027937340494
session_20260817_130253/T2,1.1207980723959903,0.16779682000979365
session_20260817_130253/T3,1.488320994062212,-0.16943819104999275
session_20260817_160757/T1,-0.9696729000422751,0.6742522389465894
session_20260817_160757/T2,2.021865265675414,2.9840274899957335
session_20260817_160757/T3,1.741169565316834,3.215615265681321
