metric_name,PC1,PC2
BE-CONTRACT-M-001-dto-validator-coverage,-0.26572749095810383,0.00646393211230322
BE-DUP-M-001-clone-ratio,0.25363385421599094,0.488431530277621
BE-ERR-M-001-exception-unification-violation-density,0.21422807978160954,-0.4282767893017958
BE-SIZE-M-001-cyclomatic-complexity-ratio,0.15179758618499747,0.18551521319435008
BE-TEST-M-001-test-coverage,-0.23990137881055776,0.32230776153423524
FE-COM-M-001-render-decision-depth-average,0.19248938133193597,0.37769581641089783
FE-COMM-M-001-prop-drilling-average,0.27449675626706865,-0.4114536105691387
FE-DUP-M-001-clone-ratio,0.37031328234379174,-0.22373569739467447
FE-ROUTE-M-001-route-param-complexity,0.3953930923004641,0.12038823986708569
FE-STATE-M-001-context-provider-ratio,-0.4242861696103102,-0.24957007274794563
FE-STYLE-M-001-style-mixing-ratio,0.39074660623286184,-0.029820243171947158
