agent,COM,CONTRACT,DEP,DOM,DUP,ERR,SIZE
claude,0.6666666666666666,3.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,0.1666666666666666
codex,0.8333333333333334,5.0,0.0,0.3333333333333333,4.666666666666667,7.5,0.0
