Agent,Prompt,Task,Checkpoint,Concern / Metric,Observed Metric $M$,Upper Tukey Fence $U_j$,Corresponding Constraint Status
Claude,Minimal,T2,E2,BE-SIZE / BE-SIZE-M-001,2.4%,0.0%,Pass
Codex,Minimal,T3,E3,BE-SIZE / BE-SIZE-M-001,1.5%,0.0%,Pass
